20,1293.33
20.05,1326.67
20.1,1220
20.15,1246.67
20.2,1046.67
20.25,1140
20.3,1333.33
20.35,1326.67
20.4,1326.67
20.45,1206.67
20.5,1233.33
20.55,1020
20.6,1040
20.65,993.333
20.7,1366.67
20.75,1226.67
20.8,1073.33
20.85,1133.33
20.9,1340
20.95,1133.33
21,1126.67
21.05,1186.67
21.1,1133.33
21.15,1253.33
21.2,1000
21.25,973.333
21.3,1206.67
21.35,1113.33
21.4,1153.33
21.45,1033.33
21.5,1146.67
21.55,1173.33
21.6,1006.67
21.65,1133.33
21.7,1100
21.75,1106.67
21.8,1046.67
21.85,866.667
21.9,1206.67
21.95,1006.67
22,1133.33
22.05,1066.67
22.1,880
22.15,973.333
22.2,1113.33
22.25,966.667
22.3,1013.33
22.35,1033.33
22.4,1066.67
22.45,1053.33
22.5,953.333
22.55,1073.33
22.6,946.667
22.65,846.667
22.7,820
22.75,1093.33
22.8,846.667
22.85,1000
22.9,980
22.95,1000
23,980
23.05,1066.67
23.1,940
23.15,966.667
23.2,873.333
23.25,953.333
23.3,966.667
23.35,986.667
23.4,1046.67
23.45,1046.67
23.5,1013.33
23.55,953.333
23.6,953.333
23.65,926.667
23.7,906.667
23.75,960
23.8,866.667
23.85,913.333
23.9,800
23.95,900
24,906.667
24.05,1040
24.1,793.333
24.15,753.333
24.2,846.667
24.25,1066.67
24.3,860
24.35,1086.67
24.4,900
24.45,1133.33
24.5,866.667
24.55,840
24.6,786.667
24.65,900
24.7,813.333
24.75,880
24.8,806.667
24.85,840
24.9,840
24.95,800
25,846.667
25.05,820
25.1,913.333
25.15,666.667
25.2,800
25.25,880
25.3,793.333
25.35,673.333
25.4,880
25.45,760
25.5,873.333
25.55,753.333
25.6,760
25.65,726.667
25.7,786.667
25.75,900
25.8,773.333
25.85,806.667
25.9,700
25.95,853.333
26,760
26.05,733.333
26.1,906.667
26.15,700
26.2,746.667
26.25,720
26.3,826.667
26.35,780
26.4,720
26.45,700
26.5,846.667
26.55,800
26.6,826.667
26.65,606.667
26.7,766.667
26.75,846.667
26.8,773.333
26.85,806.667
26.9,733.333
26.95,666.667
27,720
27.05,760
27.1,740
27.15,826.667
27.2,706.667
27.25,660
27.3,720
27.35,626.667
27.4,680
27.45,646.667
27.5,680
27.55,760
27.6,740
27.65,673.333
27.7,706.667
27.75,573.333
27.8,720
27.85,826.667
27.9,680
27.95,693.333
28,706.667
28.05,686.667
28.1,606.667
28.15,593.333
28.2,746.667
28.25,740
28.3,666.667
28.35,580
28.4,546.667
28.45,713.333
28.5,613.333
28.55,660
28.6,726.667
28.65,726.667
28.7,666.667
28.75,560
28.8,680
28.85,546.667
28.9,660
28.95,640
29,753.333
29.05,613.333
29.1,506.667
29.15,646.667
29.2,466.667
29.25,713.333
29.3,566.667
29.35,646.667
29.4,620
29.45,560
29.5,580
29.55,520
29.6,700
29.65,613.333
29.7,520
29.75,506.667
29.8,600
29.85,546.667
29.9,493.333
29.95,560
30,660
30.05,620
30.1,533.333
30.15,646.667
30.2,553.333
30.25,533.333
30.3,653.333
30.35,633.333
30.4,673.333
30.45,506.667
30.5,573.333
30.55,560
30.6,546.667
30.65,460
30.7,573.333
30.75,493.333
30.8,526.667
30.85,453.333
30.9,620
30.95,533.333
31,633.333
31.05,593.333
31.1,533.333
31.15,653.333
31.2,580
31.25,486.667
31.3,633.333
31.35,553.333
31.4,586.667
31.45,533.333
31.5,406.667
31.55,540
31.6,506.667
31.65,480
31.7,466.667
31.75,480
31.8,400
31.85,600
31.9,660
31.95,473.333
32,540
32.05,480
32.1,540
32.15,473.333
32.2,466.667
32.25,613.333
32.3,453.333
32.35,473.333
32.4,513.333
32.45,513.333
32.5,413.333
32.55,613.333
32.6,513.333
32.65,500
32.7,406.667
32.75,426.667
32.8,473.333
32.85,520
32.9,420
32.95,426.667
33,493.333
33.05,533.333
33.1,593.333
33.15,473.333
33.2,540
33.25,480
33.3,600
33.35,440
33.4,466.667
33.45,466.667
33.5,500
33.55,500
33.6,460
33.65,566.667
33.7,573.333
33.75,533.333
33.8,506.667
