No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD,D spacings
2365,60.1964,96.3717,94.3720,93.6227,300.3550, ,1.53604
2366,60.2134,85.8154,94.3794,93.6227,300.3550, ,1.53565
2367,60.2304,107.7248,94.3870,93.6227,300.3550, ,1.53526
2368,60.2474,104.7213,94.3946,93.6227,300.3550, ,1.53486
2369,60.2644,105.8209,94.4024,93.6227,300.3550, ,1.53447
2370,60.2814,96.7107,94.4103,93.6227,300.3550, ,1.53408
2371,60.2984,99.7867,94.4183,93.6227,300.3550, ,1.53369
2372,60.3154,109.6466,94.4264,93.6227,300.3550, ,1.53330
2373,60.3324,102.1345,94.4347,93.6227,300.3550, ,1.53290
2374,60.3494,120.0155,94.4431,93.6227,300.3550, ,1.53251
2375,60.3664,110.7552,94.4516,93.6227,300.3550, ,1.53212
2376,60.3834,97.2688,94.4602,93.6227,300.3550, ,1.53173
2377,60.4004,104.3975,94.4690,93.6227,300.3550, ,1.53134
2378,60.4174,92.7880,94.4779,93.6227,300.3550, ,1.53095
2379,60.4344,91.2876,94.5234,93.6227,300.3550, ,1.53056
2380,60.4514,105.2010,94.6547,93.7812,300.3550, ,1.53017
2381,60.4684,104.8434,94.8226,93.9397,300.3550, ,1.52978
2382,60.4854,87.3383,94.9906,94.0982,300.3550, ,1.52939
2383,60.5024,79.9462,95.1588,94.2567,300.3550, ,1.52900
2384,60.5194,97.3748,95.3271,94.4153,300.3550, ,1.52861
2385,60.5364,102.6883,95.4956,94.5738,300.3550, ,1.52823
2386,60.5534,93.4726,95.6643,94.7323,300.3550, ,1.52784
2387,60.5704,84.9325,95.8331,94.8908,300.3550, ,1.52745
2388,60.5874,93.5374,96.0021,95.0493,300.3550, ,1.52706
2389,60.6044,77.3748,96.1713,95.2078,300.3550, ,1.52667
2390,60.6214,105.3363,96.3407,95.3663,300.3550, ,1.52629
2391,60.6384,97.4722,96.5102,95.5249,300.3550, ,1.52590
2392,60.6554,94.5885,96.6799,95.6834,300.3550, ,1.52551
2393,60.6724,107.3221,96.8499,95.8419,300.3550, ,1.52513
2394,60.6894,99.7286,97.0200,96.0004,300.3550, ,1.52474
2395,60.7064,81.0942,97.1903,96.1589,300.3550, ,1.52435
2396,60.7234,77.5153,97.3608,96.3174,300.3550, ,1.52397
2397,60.7404,87.9373,97.5316,96.4759,300.3550, ,1.52358
2398,60.7574,97.9446,97.7025,96.6344,300.3550, ,1.52319
2399,60.7744,92.8360,97.8737,96.7930,300.3550, ,1.52281
2400,60.7914,89.9950,98.0451,96.9515,300.3550, ,1.52242
2401,60.8084,90.4613,98.2168,97.1100,300.3550, ,1.52204
2402,60.8254,96.3360,98.3886,97.2685,300.3550, ,1.52165
2403,60.8424,100.4917,98.5607,97.4270,300.3550, ,1.52127
2404,60.8594,91.7411,98.7331,97.5855,300.3550, ,1.52089
2405,60.8764,89.2779,98.9057,97.7440,300.3550, ,1.52050
2406,60.8934,96.3328,99.0786,97.9026,300.3550, ,1.52012
2407,60.9104,93.2946,99.2518,98.0611,300.3550, ,1.51973
2408,60.9274,88.4079,99.3915,98.2196,300.3550, ,1.51935
2409,60.9444,89.8085,95.5058,92.0676,300.3550, ,1.51897
2410,60.9614,96.6128,95.3865,91.9033,300.3550, ,1.51859
2411,60.9784,93.6033,95.2807,91.7516,300.3550, ,1.51820
2412,60.9954,107.0599,95.1880,91.6122,300.3550, ,1.51782
2413,61.0124,103.1959,95.1084,91.4849,300.3550, ,1.51744
2414,61.0294,96.3258,95.0417,91.3695,300.3550, ,1.51706
2415,61.0464,89.6206,94.9876,91.2658,300.3550, ,1.51667
2416,61.0634,92.7989,94.9462,91.1737,300.3550, ,1.51629
2417,61.0804,93.5094,94.9171,91.0929,300.3550, ,1.51591
2418,61.0974,79.3166,94.9002,91.0232,300.3550, ,1.51553
2419,61.1144,96.7789,94.8954,90.9646,300.3550, ,1.51515
2420,61.1314,102.9943,94.9024,90.9166,300.3550, ,1.51477
2421,61.1484,98.1235,94.9212,90.8793,300.3550, ,1.51439
2422,61.1654,93.6786,94.9516,90.8523,300.3550, ,1.51401
2423,61.1824,98.0949,94.9934,90.8356,300.3550, ,1.51363
2424,61.1994,79.1296,95.0465,90.8288,300.3550, ,1.51325
2425,61.2164,104.1852,95.1107,90.8319,300.3550, ,1.51287
2426,61.2334,111.5866,95.1858,90.8446,300.3550, ,1.51249
2427,61.2504,91.8764,95.2718,90.8668,300.3550, ,1.51211
2428,61.2674,91.8607,95.3685,90.8982,300.3550, ,1.51173
2429,61.2844,110.9957,95.4757,90.9387,300.3550, ,1.51135
